Item_Number,Name,Year,Theme,Subtheme,Pieces,Minifigures,Image_URL,GBP_MSRP,USD_MSRP,CAD_MSRP,EUR_MSRP,Packaging,Availability
4495,AT-TE,2004,Star_Wars,Mini_Building_Set,63,NA,http://images.brickset.com/sets/images/4495-1.jpg,6.99,7,NA,NA,Blister_pack,Retail
4496,Fun_with_Building_Tub,2004,Creator,,1000,NA,http://images.brickset.com/sets/images/4496-1.jpg,19.99,20,NA,NA,Tub,Retail
4497,Pretend_and_Create,2004,Creator,,1000,NA,http://images.brickset.com/sets/images/4497-1.jpg,29.99,20,NA,NA,Tub,Retail
4500,Rebel_Snowspeeder,2004,Star_Wars,Episode_IV-VI,214,3,http://images.brickset.com/sets/images/4500-1.jpg,19.99,20,NA,NA,Box,Retail
4501,Mos_Eisley_Cantina,2004,Star_Wars,Episode_IV-VI,193,5,http://images.brickset.com/sets/images/4501-1.jpg,27.99,30,NA,NA,Box,Retail
4502,X-wing_Fighter,2004,Star_Wars,Episode_IV-VI,563,3,http://images.brickset.com/sets/images/4502-1.jpg,49.99,50,NA,NA,Box,Retail
4504,Millennium_Falcon,2004,Star_Wars,Episode_IV-VI,985,5,http://images.brickset.com/sets/images/4504-1.jpg,99.99,100,NA,NA,Box,Retail
4505,Sea_Machines,2004,Creator,Designer_Set,168,NA,http://images.brickset.com/sets/images/4505-1.jpg,5.99,7,NA,NA,Box,Retail
4506,Deep_Sea_Predators,2004,Creator,Designer_Set,352,NA,http://images.brickset.com/sets/images/4506-1.jpg,14.99,20,NA,NA,Box,Retail
4507,Prehistoric_Creatures,2004,Creator,Designer_Set,726,NA,http://images.brickset.com/sets/images/4507-1.jpg,24.99,30,NA,NA,Box,Retail
4508,Titan_XP,2004,Creator,Designer_Set,784,NA,http://images.brickset.com/sets/images/4508-1.jpg,34.99,50,NA,NA,Box,Retail
4666,Speedy_Police_Car,2004,4_Juniors,City,24,1,http://images.brickset.com/sets/images/4666-1.jpg,3.99,5,NA,NA,Not_specified,Not_specified
4667,Loadin'_Digger,2004,4_Juniors,City,29,1,http://images.brickset.com/sets/images/4667-1.jpg,6.99,8,NA,NA,Not_specified,Not_specified
4668,Outrigger_Construction_Crane,2004,4_Juniors,City,61,2,http://images.brickset.com/sets/images/4668-1.jpg,14.99,13,NA,NA,Not_specified,Not_specified
4669,Turbo-Charged_Police_Boat,2004,4_Juniors,City,52,2,http://images.brickset.com/sets/images/4669-1.jpg,14.99,20,NA,NA,Not_specified,Not_specified
4680,Traffic_Patrol,2004,Duplo,LEGO_Ville,3,1,http://images.brickset.com/sets/images/4680-1.jpg,2.99,3,NA,NA,Not_specified,Not_specified
4681,Fire_Truck,2004,Duplo,LEGO_Ville,18,2,http://images.brickset.com/sets/images/4681-1.jpg,14.99,13,NA,NA,Not_specified,Not_specified
4683,Pony_and_Cart,2004,Duplo,LEGO_Ville,5,1,http://images.brickset.com/sets/images/4683-1.jpg,3.99,4.99,NA,NA,Not_specified,Not_specified
4684,Pick-Up_Truck,2004,Duplo,LEGO_Ville,4,1,http://images.brickset.com/sets/images/4684-1.jpg,4.99,5,NA,NA,Not_specified,Not_specified
4685,Fork_Lift,2004,Duplo,LEGO_Ville,10,1,http://images.brickset.com/sets/images/4685-1.jpg,7.99,8,NA,NA,Not_specified,Not_specified
4686,Little_Farm,2004,Duplo,LEGO_Ville,50,2,http://images.brickset.com/sets/images/4686-1.jpg,19.99,20,NA,NA,Not_specified,Not_specified
4687,Tractor-Trailer,2004,Duplo,LEGO_Ville,8,1,http://images.brickset.com/sets/images/4687-1.jpg,7.99,12.99,NA,NA,Not_specified,Not_specified
4688,Team_Construction,2004,Duplo,LEGO_Ville,22,2,http://images.brickset.com/sets/images/4688-1.jpg,17.99,20,NA,NA,Not_specified,Not_specified
4689,Playhouse,2004,Duplo,LEGO_Ville,60,4,http://images.brickset.com/sets/images/4689-1.jpg,19.99,25,NA,NA,Not_specified,Not_specified
4690,Horse_Stable,2004,Duplo,LEGO_Ville,29,2,http://images.brickset.com/sets/images/4690-1.jpg,14.99,10,NA,NA,Not_specified,Not_specified
4691,Police_Station,2004,Duplo,LEGO_Ville,61,3,http://images.brickset.com/sets/images/4691-1.jpg,29.99,40,NA,NA,Not_specified,Not_specified
4692,Fire_Car,2004,Duplo,LEGO_Ville,2,1,http://images.brickset.com/sets/images/4692-1.jpg,2.99,NA,NA,NA,Not_specified,Not_specified
